,ticker,cik
0,aapl,320193
1,msft,789019
2,amzn,1018724
3,goog,1652044
4,tcehy,1293451
5,tsla,1318605
6,brk-a,1067983
7,tsm,1046179
8,baba,1577552
9,v,1403161
10,nvda,1045810
11,jpm,19617
12,jnj,200406
13,spy,884394
14,lvmuy,824046
15,wmt,104169
16,unh,731766
17,ma,1141391
18,pypl,1633917
19,bac,70858
20,hd,354950
21,pg,80424
22,dis,1744489
23,asml,937966
24,adbe,796343
25,cmcsa,1166691
26,xom,34088
27,nke,320187
28,idcby,1445468
29,tm,1094517
30,nflx,1065280
31,vz,732712
32,ko,21344
33,orcl,1341439
34,crm,1108524
35,intc,50863
36,lly,59478
37,csco,858877
38,pfe,78003
39,abt,1800
40,cihky,1495688
41,t,732717
42,nvs,1114448
43,pep,77476
44,abbv,1551152
45,vwdry,1330306
46,tmo,97745
47,cvx,93410
48,orcl,1341439
49,dhr,313616
50,mrk,310158
51,cichy,1445474
52,nvo,353278
53,avgo,1730168
54,acn,1467373
55,shop,1594805
56,ups,1090727
57,tmus,1283699
58,bhp,811809
59,wfc,72971
60,txn,97476
61,cost,909832
62,mcd,63908
63,mdt,1613103
64,ms,895421
65,sap,1000184
66,acgby,1501437
67,qcom,804328
68,rds-a,1306965
69,azn,901832
70,ul,217410
71,rtntf,887028
72,pm,1413329
73,hon,773840
74,hesay,1436949
75,bmy,14272
76,lin,1707925
77,unp,100885
78,ptr,1108329
79,bbl,1171264
80,nee,753308
81,chdry,1450488
82,se,1703399
83,ry,1000275
84,pdd,1737806
85,qqq,1067839
86,c,831001
87,amgn,318154
88,bud,1668717
89,ba,12927
90,low,60667
91,chtr,1091667
92,hdb,1144967
93,intu,896878
94,sbux,829224
95,axp,4962
96,blk,1364742
97,schw,316709
98,rio,863064
99,rtx,101829
100,sny,1121404
101,bachy,1378999
102,sony,313838
103,td,947263
104,gs,886982
105,amt,1053507
106,amat,6951
107,ibm,51143
108,tgt,27419
109,tte,879764
110,sftby,1065521
111,zm,1585521
112,hsbc,1089113
113,cat,18230
114,lfc,1268896
115,el,1001250
116,amd,2488
117,mmm,66740
118,ge,40545
119,jd,1549802
120,vale,917851
121,sq,1512673
122,isrg,1035267
123,deo,835403
124,idexy,1438656
125,now,1373715
126,ppruy,1445465
127,de,315189
128,cvs,64803
129,lmt,936468
130,snap,1564408
131,eadsy,1378580
132,gsk,1131399
133,spgi,64040
134,syk,310764
135,byddy,1445162
136,dmlry,1067318
137,uber,1543151
